date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737266.764618056,26.2720059603453,32.9990062862635,100,2.61800624417083,3,1,11,8,72,100,0,7
737266.764618056,60.3819999843836,67.0410063117743,-200,3.28800689899072,4,-1,9,6,-220,-200,6,0
737266.764618056,94.2250069230795,100.908002257347,0,2.24200261330407,3,-1,10,0,-70,0,8,0
737266.764618056,128.282999619842,134.990999847651,100,2.72599992679898,3,-1,13,0,14,100,8,0
737266.764618056,162.566006183624,169.282998517156,0,2.59599894248822,3,1,10,7,-22,0,0,7
737266.764618056,196.972005441785,203.668006137013,200,2.30000302480767,3,-1,9,12,228,200,9,0
737266.764618056,231.088004261255,237.820003554225,-100,2.56900481629418,3,-1,12,11,-108,-100,9,0
737266.764618056,265.524007380009,272.342004999518,200,1.77500278150546,2,1,15,11,178,200,1,11
737266.764618056,300.233002379537,307.067998498678,0,3.98100070189685,4,-1,11,0,-72,0,2,0
737266.764618056,334.931999444962,341.641005501151,-100,2.31599975752761,3,-1,14,7,-154,-100,11,0
737266.764618056,368.983001634479,375.657004863024,0,4.13500234019011,4,1,0,6,42,0,0,1
737266.764618056,403.181005641818,409.832005575299,-200,2.61700009726337,3,-1,11,12,-184,-200,9,0
