date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737252.52494213,23.3260050415993,30.7950049638748,100,2.33400385380082,3,1,0,7,144,100,0,5
737252.52494213,57.5570002198219,65.0040026754141,0,2.7010014616244,3,1,0,8,58,0,0,8
737252.52494213,92.1559978276491,99.7800059616566,100,3.10100695813162,3,1,0,4,128,100,0,3
737252.52494213,126.82099789381,134.284998849034,200,0.900998840574175,1,-1,17,2,94,200,17,0
737252.52494213,161.302001774311,168.847002089024,0,2.27500452208915,3,1,0,11,74,0,0,9
737252.52494213,196.19599878788,203.754004463553,100,1.06399845361739,1,-1,16,2,2,100,16,0
737252.52494213,265.023004263639,272.621001675725,0,3.91400435757532,4,-1,9,0,-68,0,4,0
737252.52494213,335.069003328681,342.816999927163,100,1.60400207710336,2,-1,6,0,58,100,6,0
737252.52494213,404.810005053878,412.39800453186,-100,0.925005065801088,1,1,1,17,22,-100,0,17
737252.52494213,474.352003633976,481.939007341862,0,3.10400430465234,3,1,0,8,58,0,0,7
737252.52494213,544.291002675891,551.88800431788,100,1.32500474810513,2,-1,13,0,4,100,9,0
737252.52494213,614.075003564358,621.739003434777,-100,1.05099786913343,1,1,0,20,36,-100,0,13
737252.52494213,683.857002854347,691.590998321772,0,2.38099979687104,3,1,2,13,76,0,0,9
