date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff
736572.840208333,22.7219950407743,47.3539978265762,-250,1.69799850964046,2,1,0,21,-106
736572.840208333,71.8679968267679,97.4669929593801,100,3.01399597394629,3,-1,10,2,44
736572.840208333,122.065994516015,147.932993620634,25,8.3330010172067,8,-1,2,1,19
736572.840208333,173.41399602592,199.308001622558,-50,2.25199547862576,3,-1,1,17,64
736572.840208333,224.09199513495,249.03199262917,300,6.13299345242558,6,-1,20,0,162
736572.840208333,273.719999939203,299.819999188185,125,4.75100012004259,5,-1,10,0,57
736572.840208333,324.947996065021,350.938993692398,-75,4.35199418556294,4,1,2,24,79
736572.840208333,375.670000165701,401.860996708274,-10,11.8899980354327,11,1,0,12,76
736572.840208333,426.549999788404,452.616997808218,150,7.60199456906412,7,-1,20,0,8
736572.840208333,477.708996087313,503.435993939638,75,3.97000070547801,4,1,6,10,109
736572.840208333,528.312000632286,553.886001929641,-200,7.98499474370328,8,1,0,42,94
736572.840208333,578.844999521971,604.755993559957,-125,1.49099928021315,2,1,0,23,39
736572.840208333,629.546001926064,655.289002507925,-25,4.60499605917721,5,1,0,7,25
736572.840208333,679.892992973328,706.236996129155,0,6.45299981998687,6,1,2,8,44
736572.840208333,731.772001460195,756.805993616581,-300,4.52899350428197,5,1,0,45,10
736572.840208333,781.585993990302,807.68400169909,10,8.55000213622407,8,1,0,7,60
736572.840208333,832.899998500943,858.911997824907,50,5.41099309027777,5,-1,11,3,-10
736572.840208333,883.25799331069,909.421993419528,-100,5.21799960863427,5,1,0,16,8
736572.840208333,934.044994041324,959.116996452212,-350,1.45100206315692,2,1,0,59,52
736572.840208333,984.847997501493,1011.56699359417,0,5.51000000823115,5,1,0,9,66
736572.840208333,1036.44699342549,1061.84999383986,200,6.6979957191943,7,-1,16,14,184
736572.840208333,1086.55499964952,1112.45999895036,-150,2.55299747502431,3,1,1,19,-24
736572.840208333,1137.80599907041,1161.8519961834,250,1.96799282157735,2,1,0,60,650
736572.840208333,1185.73399297893,1211.59799471498,350,5.2449957106146,5,-1,22,5,226
