NaN,NaN,0.655,0.173,0.035997,0.038002,0.086996,0.128,0.426,0.158,0.161,NaN,NaN,0.034005,0.014997,0.00099689,NaN,0.921,0.052003,NaN,NaN,NaN,NaN,NaN,0.054002
NaN,NaN,NaN,NaN,0.935,0.062002,0.109,0.030997,0.071996,0.128,0.020997,0.869,NaN,0.2,0.304,NaN,NaN,NaN,0.33,0.084,0.021998,NaN,NaN,0.62301,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.693,0.23,0.042003,NaN,0.482,0.133,0.079999,NaN,NaN,0.154,0.141,0.093003,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.764,0.174,NaN,NaN,0.067998,0.013996,0.287,NaN,NaN,1.001,0.111,0.023999,NaN,0.041002,NaN,NaN,NaN,NaN
NaN,NaN,1.041,0.159,0.058005,0.126,0.068001,0.077996,0.282,0.069999,NaN,0.61,0.059,0.718,0.122,0.531,NaN,0.359,NaN,0.892,0.034003,0.0090007,NaN,0.151,NaN
NaN,NaN,NaN,1.077,0.19,0.0020006,0.021002,0.892,0.30001,0.409,NaN,0.183,NaN,0.346,0.059002,NaN,NaN,NaN,0.328,NaN,0.834,NaN,NaN,NaN,0.022003
NaN,NaN,NaN,NaN,NaN,0.056004,0.156,0.847,0.176,0.142,0.148,NaN,0.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.318,NaN
NaN,NaN,NaN,NaN,NaN,0.276,0.031997,0.968,NaN,NaN,NaN,NaN,0.993,0.063997,0.083001,NaN,0.416,NaN,NaN,NaN,NaN,NaN,0.308,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.723,0.051004,0.212,0.208,0.245,0.025997,NaN,0.781,0.070999,0.161,NaN,NaN,NaN,NaN,NaN,0.159,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.873,0.197,0.067997,0.331,0.113,0.341,0.043998,NaN,NaN,0.373,0.055005,NaN,NaN,NaN,NaN,NaN,NaN,0.813,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.349,0.096999,0.146,0.146,0.184,0.037005,NaN,NaN,NaN,NaN,NaN,NaN,1.17,0.474,0.101,NaN,0.201,0.043,NaN
NaN,NaN,0.871,0.092996,0.122,0.036003,0.112,0.0010032,0.262,0.387,NaN,0.268,NaN,NaN,NaN,NaN,0.733,0.132,NaN,0.93801,NaN,NaN,0.104,0.131,0.392
NaN,NaN,NaN,NaN,NaN,NaN,0.85,0.015997,0.353,0.247,0.0079972,0.115,0.025002,0.894,0.0009972,0.032996,0.068001,NaN,NaN,NaN,0.458,0.080003,0.68,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.271,0.001001,0.184,NaN,0.706,NaN,0.287,0.152,0.204,NaN,0.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.553,0.080005,0.057,0.048001,0.012004,0.149,0.071999,0.022005,0.263,0.091999,0.175,0.101,0.075005,NaN,NaN,0.291,0.142,0.604,0.082997,NaN,0.74,0.0019973,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13201,0.522,0.064996,0.070999,NaN,NaN,1.064,0.102,0.621,0.082996,NaN,NaN,NaN,NaN,NaN,NaN,0.382
NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.015,NaN,0.248,NaN,0.332,0.427,0.4,0.755,NaN,1.035,0.574,NaN,0.5,0.073001,NaN,NaN,1.198,0.201
NaN,NaN,NaN,NaN,0.354,0.020005,0.358,0.243,NaN,0.486,0.059,0.162,0.141,0.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13,NaN,NaN,NaN
NaN,NaN,0.212,0.138,0.080998,0.066996,0.316,0.129,0.122,0.181,0.658,NaN,0.11,0.496,0.016997,NaN,0.28,NaN,0.589,NaN,NaN,NaN,NaN,NaN,0.104
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.441,0.015996,NaN,NaN,NaN,NaN,NaN,0.372,NaN,NaN,NaN,1.091,0.094,0.070001,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.62501,0.131,0.069001,0.074997,0.16,0.056,0.010999,0.0019968,0.124,NaN,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.912,0.0019984,0.051997,0.287,0.020001,NaN,NaN,NaN,NaN,0.436,NaN,0.552,0.332,NaN,0.381,0.075998,0.11,NaN,NaN,NaN,0.121,0.023998
NaN,NaN,0.86101,0.199,0.153,0.167,0.078996,0.079004,0.556,0.0010024,0.102,0.0010025,NaN,0.616,NaN,1.093,NaN,NaN,1.032,0.149,NaN,NaN,NaN,0.976,NaN
NaN,NaN,0.36401,0.275,0.181,0.0090029,0.0009973,0.356,0.031,0.086003,0.0049971,0.021998,0.78501,0.258,NaN,NaN,0.95,NaN,NaN,NaN,NaN,NaN,0.909,NaN,NaN
