NaN,NaN,NaN,NaN,1.096,NaN,0.455,0.34099
NaN,NaN,0.376,0.77699,0.634,NaN,0.15,0.287
NaN,NaN,NaN,NaN,NaN,NaN,0.32299,0.12399
NaN,NaN,NaN,0.44099,0.814,NaN,NaN,0.191
NaN,NaN,NaN,NaN,1.005,0.11099,0.375,NaN
NaN,NaN,0.44,0.19499,0.285,0.468,0.064,0.097
NaN,NaN,0.58399,0.414,0.40499,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.60099,0.256,0.26499,0.10899,0.18299
NaN,NaN,NaN,NaN,NaN,NaN,0.98599,0.295
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,1.047,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
