date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737264.815162037,23.832992836833,31.30699172616,100,4.5329940043739,4,1,1,2,108,100,0,1
737264.815162037,58.1529937684536,65.6099941581488,0,1.54899964941433,2,1,7,1,-38,0,2,1
737264.815162037,92.6619999110699,100.139991939068,100,6.06399257326848,6,1,2,1,94,100,0,0
737264.815162037,127.663992717862,135.341993719339,200,2.86999324418139,3,1,1,2,206,200,0,2
737264.815162037,162.763993442059,170.420992746949,0,4.52999301112141,4,1,0,3,24,0,0,1
737264.815162037,197.596997022629,205.005999282002,100,1.55899500931264,2,-1,9,0,38,100,5,0
737264.815162037,267.055994644761,274.547997862101,0,1.74099304700212,2,-1,1,5,28,0,1,5
737264.815162037,335.773998498917,343.378996476531,100,NaN,NaN,NaN,0,0,100,100,0,0
737264.815162037,405.564999952912,412.922996655107,-100,2.87299201941642,3,-1,1,14,-16,-100,1,5
737264.815162037,474.754998832941,482.463999465108,0,6.90399477900064,6,-1,2,0,-12,0,0,0
737264.815162037,544.908993691206,552.609997987747,100,NaN,NaN,NaN,0,0,100,100,0,0
737264.815162037,614.175998792052,621.705992147326,-100,3.37899294197268,3,-1,1,0,-108,-100,1,0
737264.815162037,684.628000482917,692.147000133991,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0
