date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff
736609.839386574,23.6819978803396,49.4059983640909,250,1.19699823284463,2,-1,27,0,60
736609.839386574,73.6749976873398,99.1630006581545,-100,1.1610052704782,2,1,0,16,10
736609.839386574,122.975001856685,148.278998583555,-25,5.75400404035463,6,1,2,2,-21
736609.839386574,172.104005143046,197.717002406716,50,2.56999723827175,3,-1,11,2,-16
736609.839386574,221.584998071194,247.902004793286,-300,1.19900585054711,2,1,0,41,-16
736609.839386574,272.281997278333,298.364002257586,-125,1.21999669598881,2,1,0,17,-3
736609.839386574,322.402003034949,348.381001129746,75,0.960005874512717,1,-1,17,2,-33
736609.839386574,372.700000181794,398.720005899668,10,6.84199686646753,7,-1,5,0,-24
736609.839386574,422.933000698686,448.809997737408,-150,1.20800058376335,2,1,1,19,-28
736609.839386574,473.111998289824,498.835998773575,-75,1.18000597108039,2,1,0,11,1
736609.839386574,522.804003953934,548.2970058918,200,1.33700555872929,2,-1,28,0,-2
736609.839386574,572.63300344348,598.832006379962,125,0.697998048184672,1,-1,15,0,17
736609.839386574,623.121001571417,649.114996567369,25,6.7950059541472,7,1,1,1,25
736609.839386574,673.604996502399,699.390000477433,0,0.821003918055794,1,-1,14,2,-78
736609.839386574,723.611997440457,749.37300235033,300,1.80300516236457,2,-1,44,1,6
736609.839386574,773.822004720569,799.944001436234,-10,3.61799958038318,4,-1,6,5,-20
736609.839386574,824.265002086759,850.31000263989,-50,3.92099691784824,4,1,0,13,42
736609.839386574,874.811006337404,900.521005690098,100,0.933998455046094,1,-1,13,1,16
736609.839386574,924.710997194052,951.300000026822,350,1.10099705601169,1,-1,49,0,2
736609.839386574,976.289997249842,1002.32799723744,0,5.83000405585335,6,1,9,3,-40
736609.839386574,1026.94099992514,1053.56800295413,-200,1.46000005268434,2,1,1,25,-26
736609.839386574,1078.50900627673,1104.67100478709,150,1.20399713647203,2,-1,16,1,44
736609.839386574,1129.29400540888,1155.57599924505,-250,1.48000140464865,2,1,0,34,-16
736609.839386574,1180.02300001681,1206.86400309205,-350,1.1280063707818,2,1,1,46,-26
