NaN,0.21,0.17101,0.254,0.142,NaN,0.735,NaN,NaN,NaN,0.185,0.955,NaN,1.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1.034,0.24001,0.33401,0.46,NaN,NaN,NaN,0.53201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.272,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.0080066,NaN,0.9,0.34401,NaN,NaN,0.76501,0.98201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.226,0.25901,0.020008,0.149,NaN,0.255,0.053008,NaN,0.31901,0.14901,NaN,0.35301,0.181,0.070003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.392,NaN
NaN,1.065,0.142,0.12301,NaN,0.84801,0.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.72,0.0010081,0.062006,0.053002,NaN,NaN,0.85601,0.039006,NaN,0.437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1.114,0.258,NaN,NaN,0.91801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1.015,0.092001,0.163,0.14101,0.409,0.0040034,NaN,NaN,NaN,0.80301,NaN,NaN,NaN,1.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.522,0.011004,0.132,NaN,0.23401,NaN,NaN,0.28801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.66901,0.27601,0.047001,0.019004,NaN,0.646,0.023999,NaN,0.799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.14801,0.17201,NaN,0.834,NaN,0.89001,0.0010021,NaN,0.105,NaN,1.003,0.23001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.252,NaN,1.152,NaN,NaN,NaN,NaN,NaN,NaN,0.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.7,0.442,NaN,NaN,0.93501,NaN,0.772,NaN,NaN,NaN,NaN,NaN,0.624,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.705,0.194,0.065007,0.169,0.19,0.15501,NaN,0.53101,0.14801,0.24501,0.704,0.0010009,0.837,NaN,0.812,NaN,0.60301,NaN,NaN,NaN,0.116,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.88201,0.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.69401,0.131,NaN,NaN,NaN,0.156,NaN,NaN,1.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1.097,0.355,0.326,0.166,0.062006,0.641,NaN,NaN,NaN,NaN,NaN,NaN,0.562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.61801,0.035004,0.021003,0.024007,0.16801,0.13701,NaN,0.727,0.113,0.895,0.29201,NaN,NaN,1.232,0.411,NaN,NaN,NaN,1.121,NaN,0.74301,NaN,NaN,NaN
NaN,NaN,NaN,0.99001,0.231,NaN,NaN,NaN,NaN,0.332,0.79401,NaN,NaN,NaN,NaN,NaN,0.0010062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1.091,0.21101,0.11201,0.84101,0.021001,NaN,0.37001,0.38001,NaN,0.44,NaN,NaN,NaN,NaN,NaN,0.41501,NaN,NaN,NaN,NaN,0.19301,NaN,NaN,NaN
NaN,NaN,0.065,0.062009,0.00099982,NaN,0.61601,0.021005,NaN,NaN,0.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.93401,0.099,0.0030016,0.016006,0.13201,0.622,0.275,0.33201,NaN,0.052004,0.668,0.12401,NaN,NaN,NaN,NaN,NaN,0.705,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.896,0.15301,0.19301,0.061005,0.18601,NaN,0.27001,0.072004,0.018008,0.35101,NaN,NaN,NaN,NaN,0.391,NaN,1.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN
