date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737138.714594907,22.8220045566559,47.7339997887611,-250,1.91800280893221,2,1,0,34,-12,-250,0,11
737138.714594907,71.7059981077909,96.7879984527826,100,1.23300288641622,2,-1,21,8,16,100,15,0
737138.714594907,121.0399992764,146.198000013828,25,4.61000243484887,5,-1,2,1,19,12,0,0
737138.714594907,170.364002510905,195.439998060465,-50,2.5830041970039,3,1,1,10,16,-50,0,5
737138.714594907,220.664001256227,246.340999379754,300,1.32800652540027,2,-1,40,1,18,150,13,0
737138.714594907,270.174002274871,295.444002002478,125,3.84499671352387,4,-1,17,0,1,125,3,0
737138.714594907,319.499001279473,344.780004769564,-75,2.24199696970027,3,1,2,15,17,-75,0,9
737138.714594907,368.937005102634,394.013000652194,-10,3.24099959874729,4,1,0,3,8,-10,0,2
737138.714594907,417.896999046206,443.413004279137,150,3.59999963629525,4,-1,11,2,84,150,4,0
737138.714594907,468.686001375318,493.63200366497,75,4.09100131929154,4,-1,17,3,-17,37,1,0
737138.714594907,517.975997552276,542.993997037411,-200,2.27899766862538,3,1,4,38,38,-100,0,10
737138.714594907,566.643999516964,591.692998632789,-125,1.44300114488578,2,1,0,23,43,-125,0,6
737138.714594907,615.364998579025,640.436005219817,-25,2.65100432193867,3,1,2,9,21,-25,0,5
737138.714594907,664.520002529025,690.518000721931,0,4.50500143444515,5,1,1,3,14,0,0,0
737138.714594907,714.36800211668,739.436997100711,-300,1.27199703324004,2,1,0,39,-20,-300,0,14
737138.714594907,763.514999672771,789.074999839067,10,2.21999789631809,3,-1,7,3,-22,10,3,0
737138.714594907,813.200004771352,838.79600353539,50,4.49400574267202,5,-1,13,8,22,50,0,0
737138.714594907,862.915003672242,887.698997184634,-100,1.16000542700203,2,1,6,28,46,-100,0,12
737138.714594907,911.712998896837,936.611998826265,-350,0.500006243113603,1,1,0,36,-102,-350,0,17
737138.714594907,960.839004814625,986.011006683111,0,3.16500474667555,3,1,0,6,44,0,0,4
737138.714594907,1010.15000268817,1035.52500084043,200,1.3500054240285,2,-1,24,3,50,200,14,0
737138.714594907,1059.53900255263,1084.72100235522,-150,0.590001364114869,1,1,0,17,-30,-150,0,11
737138.714594907,1108.95499885082,1134.34800133109,250,1.00099925518589,1,-1,30,0,44,125,17,0
737138.714594907,1158.56299772859,1184.03400219977,350,1.5510052080208,2,-1,39,0,68,350,14,0
