date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff
737138.696493056,22.7300014346838,48.0669993907213,250,1.43700249707763,2,-1,29,0,44
737138.696493056,72.3599977791309,97.6569939404726,-100,0.671995950106066,1,1,2,19,16
737138.696493056,121.703001111746,146.881993487477,-25,3.22599870670092,4,1,1,7,19
737138.696493056,170.762994512916,195.999993011355,50,3.45099591660983,4,-1,9,6,28
737138.696493056,220.172996073961,245.66399641335,-300,1.31999494922638,2,1,2,49,24
737138.696493056,269.834002107382,295.171995833516,-125,2.05100104642042,2,1,2,21,9
737138.696493056,319.223997741938,344.569002091885,75,2.74699551559024,3,-1,5,3,59
737138.696493056,368.814002349973,394.091998413205,10,3.98199644243869,4,-1,2,0,-4
737138.696493056,418.31500120461,443.804995715618,-150,3.38200278139266,4,1,0,19,-22
737138.696493056,467.920998483896,493.107997253537,-75,2.14099471653026,2,1,0,10,-7
737138.696493056,517.07899980247,542.725994065404,200,1.30400017809734,2,-1,30,0,-4
737138.696493056,566.798997670412,592.567998915911,125,2.39600157237146,3,-1,17,0,13
737138.696493056,616.857999935746,642.204995825887,25,4.94999743330845,5,-1,2,0,13
737138.696493056,666.409994289279,691.935001686215,0,3.35200206375157,4,1,2,5,20
737138.696493056,716.016001626849,741.622994095087,300,1.39299346769258,2,-1,43,9,68
737138.696493056,765.983000770211,790.537001565099,-10,3.31399406027776,4,1,0,3,12
737138.696493056,815.111993998289,840.330998227,-50,3.08899353790184,3,1,0,13,42
737138.696493056,864.552995190024,889.926997572184,100,2.96099300992501,3,-1,12,1,20
737138.696493056,913.943000882864,939.46700245142,350,0.489994408373605,1,-1,44,5,76
737138.696493056,963.743002340198,990.145997330546,0,4.71199649644404,5,-1,2,0,-14
737138.696493056,1014.41999562085,1039.74899724126,-200,1.60599596775137,2,1,1,32,20
737138.696493056,1064.00199383497,1089.49299417436,150,1.03100232982979,1,-1,19,0,10
737138.696493056,1113.56099881232,1138.9230016619,-250,0.965996389037173,1,1,0,42,42
737138.696493056,1163.31199631095,1188.66099379957,-350,1.17699656534387,2,1,0,49,NaN
