NaN,NaN,0.972,0.136,0.074998,0.096004,0.346,0.102,0.654,0.10201,NaN,0.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.548,0.0020034,0.678,0.044998,NaN,0.711,0.024001,1.024,0.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.694,0.088002,NaN,NaN,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.564,0.013001,0.048006,0.077005,0.176,0.087,1.016,0.165,0.178,NaN,NaN,0.157,NaN,NaN,0.33801,NaN,NaN,NaN,NaN,0.447,NaN,NaN,NaN
NaN,NaN,0.455,0.096005,NaN,0.582,0.0010004,NaN,0.0029974,0.84,0.0090032,0.50201,NaN,NaN,0.934,NaN,NaN,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.623,0.244,NaN,0.13801,NaN,NaN
NaN,NaN,NaN,1.078,0.195,0.122,0.55101,0.051005,0.984,0.078998,NaN,NaN,0.026003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.179,0.044004,0.569,0.13,0.374,0.083005,0.732,0.012004,0.66001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.065006,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.889,NaN,NaN,NaN,0.885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.642,0.092003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.18,0.937,NaN,NaN,NaN,NaN,NaN,0.56201,NaN,NaN,0.903,NaN,0.53101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.037004,0.147,0.105,0.124,0.53,0.099998,NaN,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030005,0.297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.776,0.27,NaN,NaN,NaN,NaN,0.60901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.37301,0.803,NaN,NaN,NaN,0.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.056001,0.119,0.1,0.14201,0.101,0.069001,0.064006,NaN,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.694,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.981,NaN,NaN,NaN,0.81901,NaN,NaN,NaN,1.002,NaN,NaN,0.777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.943,0.049005,0.15301,0.119,NaN,0.274,NaN,NaN,NaN,NaN,NaN,0.921,0.245,0.43001,NaN,0.98801,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.17701,NaN,NaN,0.668,NaN,NaN,NaN,1.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.29501,0.569,0.023998,0.068002,0.00099764,NaN,0.020007,0.174,NaN,0.068007,0.036007,NaN,0.098998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.247,0.121,0.151,0.11,0.0020071,0.17,0.086001,0.115,0.27601,0.163,NaN,0.025998,0.142,0.45701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144
