date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff
737138.67693287,21.5720012784004,45.2630013227463,-250,1.81099950754287,2,-1,18,42,-80
737138.67693287,68.5400024056435,93.113999068737,100,2.78199717855023,3,-1,20,0,-36
737138.67693287,116.78699478507,142.094994708896,25,4.19699475216476,4,-1,6,4,9
737138.67693287,165.552994608879,190.374002605677,-50,3.98199875962746,4,1,1,7,-10
737138.67693287,214.241998270154,239.254998788238,300,1.40799707042606,2,-1,46,0,-28
737138.67693287,263.297998532653,288.736001774669,125,1.61599681364896,2,-1,11,0,55
737138.67693287,312.732994928956,337.983994558454,-75,2.1670018835066,3,1,2,17,23
737138.67693287,362.377998232841,387.823997810483,-10,3.10399467360548,3,1,0,6,32
737138.67693287,411.928001046181,437.854997813702,150,2.03800045263779,2,-1,22,2,10
737138.67693287,462.342996150255,488.042997568846,75,2.75500031781121,3,-1,13,3,1
737138.67693287,512.54299543798,537.790997698903,-200,0.646003003595979,1,1,0,41,88
737138.67693287,561.766003444791,587.122001498938,-125,1.25100249313982,2,1,3,29,57
737138.67693287,611.531997844577,637.481002137065,-25,3.50899531268806,4,1,1,15,71
737138.67693287,661.79000325501,687.367997691035,0,2.78599699497136,3,1,1,5,28
737138.67693287,711.060003563762,735.97100302577,-300,0.27600287138921,1,1,9,68,118
737138.67693287,760.214997455478,785.577996075153,10,10.8500031844378,11,-1,2,0,-2
737138.67693287,809.525995329022,834.697997197509,50,3.70500440203614,4,-1,7,0,2
737138.67693287,858.818003162742,883.938999474049,-100,1.33300157057965,2,1,0,17,22
737138.67693287,908.048997446895,933.042997866869,-350,0.133002363560081,1,1,0,39,-74
737138.67693287,957.049999013543,982.484994828701,0,4.04600402414508,4,-1,2,0,-16
737138.67693287,1006.70599602163,1032.59899578989,200,0.0169945212546736,1,-1,25,1,30
737138.67693287,1056.98300153017,1082.87600129843,-150,0.255999141212669,1,1,0,24,16
737138.67693287,1107.13700428605,1133.0110039562,250,1.53399737917789,2,-1,35,2,14
737138.67693287,1157.16900005937,1183.11900012195,350,1.42799472784827,2,-1,46,0,24
