date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff
736607.849861111,23.9959973841906,49.9409984797239,250,1.17999500715814,2,1,40,12,58
736607.849861111,74.7920002788305,101.006995886564,-100,3.44199528860918,4,1,0,22,60
736607.849861111,125.976001471281,152.061003819108,-25,7.25599711740506,7,-1,6,3,-43
736607.849861111,176.891003921628,202.929999679327,50,1.41199586057337,2,-1,10,0,-24
736607.849861111,228.019996359944,254.530001431704,-300,1.15199595069862,2,1,0,46,30
736607.849861111,279.731997102499,306.081994995475,-125,4.14999893927597,4,1,1,14,-29
736607.849861111,331.079002842307,357.267997786403,75,1.42100117517111,2,-1,13,1,-5
736607.849861111,382.104002684355,408.271000161767,10,1.79900138091762,2,-1,4,1,-12
736607.849861111,433.526998758316,460.164995491505,-150,1.58500323700719,2,1,1,22,-4
736607.849861111,485.079998150468,511.484994739294,-75,2.26099976718251,3,1,2,8,-31
736607.849861111,536.763996630907,563.346994668245,200,1.12600138640846,2,-1,38,0,-78
736607.849861111,588.277004286647,614.444001764059,125,1.48400347935967,2,-1,26,2,-41
736607.849861111,639.333003759384,665.303995460272,25,7.91300067532575,8,-1,2,0,11
736607.849861111,690.282998979092,716.532001644373,0,1.31300151873438,2,1,3,8,34
736607.849861111,741.500997170806,768.158999830484,300,1.23400194942951,2,-1,57,7,-46
736607.849861111,793.160000815988,819.219998270273,-10,18.0159964376653,17,-1,1,1,-12
736607.849861111,844.097000733018,870.254996046424,-50,1.32600440371607,2,-1,10,9,-54
736607.849861111,894.917998462915,920.900999754667,100,1.21200154494727,2,-1,23,2,-44
736607.849861111,945.56799530983,972.187002003193,350,1.24999858808587,2,-1,47,1,22
736607.849861111,997.376998141408,1023.36699999869,0,1.3299949507782,2,1,0,6,40
736607.849861111,1048.19099530578,1074.3750013411,-200,0.90900264645461,1,1,4,41,54
736607.849861111,1099.2089945823,1125.53500346839,150,0.848002661587088,1,-1,28,1,-42
736607.849861111,1150.11399909854,1176.43299736083,-250,2.27099864935735,2,1,2,51,92
736607.849861111,1201.41200087965,1227.79200263321,-350,1.01400081659085,1,1,0,49,-2
