-250,-250,-218,-212,-176,-132,-114,-94,-94,-78,-56,-56,-56,-36,-36,-36,-36,-22,-14,-14,-14,-22,-30,-30,-30
100,100,78,48,26,12,12,12,-2,-2,-2,-2,6,14,14,14,14,14,14,14,20,20,20,20,20
25,25,25,57,63,63,63,63,63,63,63,77,77,63,57,57,57,57,57,57,57,57,57,57,57
-50,-50,-50,-50,-62,-62,-62,-62,-56,-56,-56,-56,-56,-48,-48,-48,-48,-42,-36,-36,-36,-24,-24,-24,-24
300,294,270,238,206,194,170,140,120,120,96,90,90,68,54,54,30,30,30,8,8,8,8,8,8
125,125,131,159,159,159,121,101,93,93,93,79,79,79,79,59,59,59,47,47,47,47,47,47,47
-75,-75,-47,-35,-29,-29,-29,-23,-15,-15,-15,-15,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
-10,-10,-10,-10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
150,150,130,112,96,68,52,28,22,8,8,-4,-4,-4,-10,-18,-18,-32,-32,-32,-32,-32,-32,-44,-44
75,75,97,97,97,77,69,41,33,33,9,9,-5,-5,-5,-5,9,9,9,9,15,15,15,15,15
-200,-200,-164,-138,-108,-88,-54,-46,-20,12,48,62,62,62,50,42,42,34,34,34,34,34,34,26,26
-125,-125,-81,-75,-61,-61,-39,-39,-39,-23,-23,-7,5,5,19,25,25,25,25,25,25,25,25,25,25
-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-11,-11,-11,-11,-11,-11,-11,-11,-11,-3,-3,-3,-3,-3,-3
0,0,0,-14,-14,-14,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28
-300,-292,-248,-220,-186,-152,-112,-98,-86,-78,-64,-64,-56,-42,-42,-42,-42,-34,-26,-26,-26,-20,0,0,0
10,10,10,10,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18
50,50,14,-8,-8,12,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
-100,-100,-112,-120,-120,-142,-150,-150,-130,-130,-130,-122,-114,-114,-92,-92,-92,-78,-78,-78,-78,-78,-78,-78,-72
-350,-344,-304,-262,-232,-202,-178,-164,-126,-92,-62,-62,-62,-62,-62,-76,-76,-76,-76,-76,-76,-84,-84,-84,-84
0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
200,200,200,154,126,94,62,56,28,-2,-10,-16,-16,-16,-40,-40,-40,-46,-52,-52,-52,-58,-80,-80,-80
-150,-150,-122,-92,-80,-64,-64,-64,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-50,-50,-50,-42,-42,-42
250,242,230,196,176,142,108,70,50,28,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
350,344,300,260,226,186,154,114,78,34,26,8,0,-44,-44,-52,-60,-60,-84,-84,-84,-78,-72,-72,-72
