date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737253.642719907,18.3079976588488,25.622995197773,200,NaN,NaN,NaN,0,0,200,200,0,0
737253.642719907,66.8959960341454,73.9869955927134,200,NaN,NaN,NaN,0,0,200,-300,0,0
737253.642719907,99.27700124681,106.354995444417,400,1.8039989104218,2,-1,10,0,334,-100,6,0
737253.642719907,131.597002968192,138.940998539329,200,3.73999898218608,4,-1,2,0,186,-300,1,0
737253.642719907,164.564999565482,171.677996590734,400,2.03500160336262,2,-1,11,0,320,-100,6,0
737253.642719907,196.842002123594,204.026996344328,200,1.23099947535957,2,1,0,4,228,-300,0,4
737253.642719907,229.310001432896,236.442994326353,400,1.76900209724408,2,-1,9,0,338,-100,3,0
737253.642719907,295.06499581039,302.749997377396,200,2.7900028055883,3,1,0,2,214,-300,0,1
737253.642719907,367.704996094108,375.080001354218,400,1.74099449634377,2,-1,7,0,354,-100,5,0
737253.642719907,440.158002823591,448.084996640682,200,3.03199624049739,3,1,0,1,206,-300,0,1
737253.642719907,514.047000557184,521.287999302149,400,1.32699416959076,2,-1,7,0,352,-100,4,0
737253.642719907,587.160997465253,594.643002748489,200,0.907998977541865,1,1,0,14,298,-300,0,14
737253.642719907,660.356999561191,667.654998600483,400,1.55199698233628,2,1,15,2,304,-100,9,2
737253.642719907,732.514001056552,739.805995300412,200,0.801998315808305,1,1,0,19,332,-300,0,19
737253.642719907,805.644000694156,813.227996975183,400,1.77999929260841,2,-1,16,0,286,-100,14,0
737253.642719907,879.200994595885,886.668002977967,200,1.53000037872698,2,1,10,5,166,-300,0,5
737253.642719907,951.89299620688,959.504994750023,400,1.23099938702217,1,-1,19,0,264,-100,14,0
737253.642719907,1025.05799867213,1032.44500346482,200,0.0719958676054375,1,1,0,18,330,-300,0,16
737253.642719907,1075.42100250721,1082.78800137341,200,1.44299830674572,2,1,0,6,240,200,0,6
