NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.733,0.144,0.289,NaN,0.256,0.191
NaN,NaN,NaN,NaN,0.348,0.465,NaN,NaN
NaN,NaN,0.892,0.2,0.162,0.229,0.323,NaN
NaN,NaN,0.15,0.3,NaN,NaN,NaN,NaN
NaN,NaN,0.696,0.122,NaN,0.26599,0.412,NaN
NaN,NaN,NaN,0.362,NaN,NaN,0.926,NaN
NaN,NaN,0.64299,0.234,NaN,NaN,0.311,NaN
NaN,NaN,NaN,0.562,NaN,NaN,NaN,NaN
NaN,NaN,0.17999,0.34,NaN,0.572,0.638,NaN
NaN,0.908,0.029994,0.147,0.368,NaN,NaN,NaN
NaN,NaN,0.472,0.257,0.176,0.59799,0.035999,NaN
NaN,0.802,0.08,0.125,0.119,NaN,NaN,NaN
NaN,NaN,0.595,0.049999,0.208,1.075,0.129,NaN
NaN,NaN,0.326,0.71,NaN,0.864,0.112,0.038997
NaN,1.231,0.178,0.156,0.424,0.013996,NaN,NaN
NaN,0.071996,0.047002,0.010996,NaN,NaN,0.338,NaN
NaN,NaN,0.349,0.102,NaN,NaN,NaN,NaN
