date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737250.765462963,28.0739977955818,35.2900017052889,100,0.750003785840818,1,1,6,9,122,100,0,9
737250.765462963,64.7320065647364,71.7830043286085,-200,0.897004314538208,1,1,0,27,-8,-200,0,17
737250.765462963,101.410001143813,108.603001758456,0,3.18800437092432,3,1,0,11,74,0,0,6
737250.765462963,138.435006514192,145.867002010345,100,2.01899999415036,2,-1,16,0,-10,100,10,0
737250.765462963,175.628005340695,183.067997172475,0,2.77199794960325,3,1,1,13,88,0,0,8
737250.765462963,213.387999683619,220.697998255491,200,2.2740066612896,3,1,15,7,136,200,1,7
737250.765462963,250.296007096767,257.278005033731,-100,1.39200316750794,2,1,0,16,16,-100,0,15
737250.765462963,286.857999488711,294.224998354912,200,0.214003764864174,1,-1,27,0,10,200,17,0
737250.765462963,324.030006676912,331.305998191237,0,2.68000622213003,3,-1,14,0,-100,0,8,0
737250.765462963,361.256006732583,368.706006556749,-100,1.47100056432828,2,1,0,24,78,-100,0,15
737250.765462963,398.885001987219,406.249003484845,0,2.25800040697504,3,-1,10,8,-18,0,10,0
737250.765462963,436.54199950397,443.780000880361,-200,1.45799803304544,2,1,0,27,-26,-200,0,15
