date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff
736595.80056713,24.9649923294783,50.3909960389137,-250,2.32499903594726,3,1,0,22,-96
736595.80056713,75.5729958415031,101.035993918777,100,0.15499399494729,1,-1,53,0,-270
736595.80056713,126.008992642164,152.364995330572,25,5.94299420845346,6,1,5,6,27
736595.80056713,177.803994342685,204.6979945153,-50,4.96199720120057,5,-1,5,0,-84
736595.80056713,230.185997486115,254.235997796059,300,2.98399860107747,4,-1,31,2,98
736595.80056713,278.240997344255,303.268994763494,125,0.123000096908072,1,-1,13,1,33
736595.80056713,328.554997220635,354.913001507521,-75,5.47399689971644,5,1,2,17,23
736595.80056713,380.307995527983,407.077001407743,-10,4.60299812089943,5,1,1,3,0
736595.80056713,433.068994805217,459.517000615597,150,0.169999918100075,1,-1,25,2,-4
736595.80056713,485.136998444796,511.935998126864,75,2.65099995779747,3,-1,11,1,7
736595.80056713,537.584993988276,563.814996555448,-200,4.02899467086536,4,1,0,25,-20
736595.80056713,589.807995781302,616.973992064595,-125,2.65999945830845,3,1,3,14,-47
736595.80056713,642.903000488877,669.663999974728,-25,5.02499837886717,5,1,0,2,-9
736595.80056713,695.71299366653,723.450994491577,0,8.98999720763823,8,1,0,2,14
736595.80056713,749.771994352341,775.68199262023,-300,1.65199705946725,2,1,22,24,-300
736595.80056713,801.492001488805,828.800000622869,10,5.43099617623375,5,1,1,2,20
736595.80056713,854.89999987185,882.108995318413,50,4.65799533223617,5,-1,10,0,-16
736595.80056713,908.079997077584,934.993993118405,-100,2.00600108325307,2,1,0,10,-32
736595.80056713,961.066000163555,987.076993659139,-350,1.95399701356655,2,1,0,41,-66
736595.80056713,1012.51699849963,1039.64699618518,0,NaN,NaN,NaN,0,0,0
736595.80056713,1065.84999226034,1091.48499704897,200,2.70799829757016,3,1,5,19,300
736595.80056713,1117.08599478006,1143.1299995631,-150,2.45100160776929,3,-1,22,9,-234
736595.80056713,1168.36400069296,1194.93399336934,250,4.92999809241155,5,-1,31,0,26
736595.80056713,1220.37399820983,1246.27800174057,350,4.8969943801203,5,1,49,19,142
