date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737257.835486111,24.4780004024506,32.2000063955784,100,NaN,NaN,NaN,0,0,100,100,0,0
737257.835486111,59.8829984664917,67.399000748992,0,NaN,NaN,NaN,0,0,0,0,0,0
737257.835486111,95.7470063120127,103.645997866988,100,1.90399920332129,2,1,0,4,126,100,0,4
737257.835486111,131.849998980761,139.594002440572,200,2.63200462555687,3,-1,6,0,158,200,6,0
737257.835486111,167.532002180815,175.098004192114,0,NaN,NaN,NaN,0,0,0,0,0,0
737257.835486111,202.781006321311,210.526005551219,100,5.27200548672408,5,-1,6,0,62,100,0,0
737257.835486111,273.971004411578,281.554004922509,0,NaN,NaN,NaN,0,0,0,0,0,0
737257.835486111,345.322005450726,353.044997155666,100,NaN,NaN,NaN,0,0,100,100,0,0
737257.835486111,417.85300411284,425.634997710586,-100,5.04599787102779,5,1,0,5,-66,-100,0,0
737257.835486111,490.891996398568,498.940001428127,0,NaN,NaN,NaN,0,0,0,0,0,0
737257.835486111,564.106998592615,572.082000598311,100,NaN,NaN,NaN,0,0,100,100,0,0
737257.835486111,637.428005039692,645.128999277949,-100,NaN,NaN,NaN,0,0,-100,-100,0,0
737257.835486111,711.336002871394,719.325006008148,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0
