30.078,31.214,32.386,33.642,34.831,36.053,37.203,38.384
69.248,70.409,71.58,72.816,73.976,75.212,76.358,77.529
108.03,109.2,110.46,111.47,112.68,113.9,115.06,116.3
147.6,148.78,150.06,151.16,152.47,153.61,154.88,156.1
187.52,188.71,189.93,191.19,192.33,193.52,194.69,195.89
227.22,228.37,229.58,230.81,232.06,233.3,234.43,235.7
266.99,268.29,269.46,270.62,271.94,273.1,274.32,275.55
306.77,307.97,309.15,310.36,311.63,312.87,314.11,315.34
346.99,348.16,349.41,350.59,351.79,353.05,354.3,355.48
387.37,388.67,389.86,391.05,392.4,393.55,394.82,395.94
427.63,428.89,430.07,431.31,432.53,433.74,435.12,436.18
467.86,469.08,470.26,471.46,472.64,473.81,475.06,476.24
