23.737,24.893,25.992,27.165,28.255,29.365,30.48,31.656
57.858,59.009,60.144,61.401,62.449,63.587,64.754,65.915
92.11,93.257,94.414,95.531,96.672,97.841,98.954,100.09
126.39,127.5,128.7,129.83,130.96,132.14,133.22,134.39
160.63,161.82,162.96,164.15,165.27,166.42,167.54,168.68
195.17,196.28,197.48,198.55,199.74,200.89,202.06,203.19
263.5,264.69,265.84,266.93,268.08,269.18,270.31,271.49
332.17,333.25,334.4,335.51,336.67,337.78,338.95,340.12
400.81,401.99,403.08,404.27,405.36,406.56,407.64,408.8
469.27,470.47,471.58,472.78,473.87,475.06,476.13,477.26
537.99,539.08,540.21,541.37,542.46,543.61,544.77,545.87
606.83,608.01,609.1,610.27,611.44,612.53,613.67,614.86
675.68,676.86,678.06,679.13,680.31,681.45,682.6,683.74
