24.742,25.869,27.017,28.132,29.244,30.397,31.494,32.599
58.951,60.013,61.177,62.319,63.458,64.616,65.754,66.894
93.175,94.282,95.441,96.538,97.722,98.827,99.964,101.07
127.38,128.55,129.76,130.9,131.98,133.11,134.25,135.37
161.68,162.82,164.01,165.14,166.27,167.41,168.6,169.76
196.13,197.31,198.44,199.58,200.81,201.91,203.1,204.22
264.58,265.71,266.87,267.94,269.05,270.18,271.36,272.51
333.21,334.28,335.39,336.53,337.66,338.79,339.95,341.15
401.8,402.93,404.12,405.23,406.41,407.53,408.67,409.8
470.31,471.44,472.62,473.76,474.93,476.02,477.12,478.29
538.95,540.08,541.3,542.38,543.5,544.63,545.76,546.9
607.85,608.97,610.09,611.24,612.47,613.56,614.75,615.88
676.72,677.9,679.01,680.18,681.42,682.53,683.6,684.75
