29.384,30.515,31.636,32.85,33.961,35.095,36.177,37.329
66.497,67.593,68.711,69.831,70.995,72.075,73.184,74.295
103.83,104.93,106.05,107.17,108.26,109.35,110.46,111.59
141.01,142.16,143.32,144.44,145.6,146.72,147.88,149.01
178.71,179.77,180.96,182.05,183.26,184.3,185.41,186.58
216.19,217.28,218.4,219.55,220.72,221.89,223.07,224.18
253.76,254.85,256,257.18,258.28,259.43,260.55,261.66
291.13,292.29,293.42,294.53,295.71,296.79,297.96,299.21
328.44,329.64,330.72,331.92,333.03,334.17,335.32,336.44
366.08,367.19,368.29,369.41,370.54,371.62,372.71,373.83
403.21,404.41,405.49,406.63,407.82,409.06,410.1,411.18
440.77,441.93,443.03,444.15,445.28,446.39,447.51,448.65
